Structure,title,description,datatype,required
id,Ідентифікатор,Порядковий номер або будь-який інший унікальний ідентифікатор зобов’язання. Наприклад: 5.,string,true
debtorName,Назва позичальника,"Назва суб’єкта господарювання, який є позичальником. Наприклад: КП «Комунтранс».",string,true
debtorIdentifier,Ідентифікатор позичальника,"Код ЄДРПОУ суб’єкта господарювання, який є позичальником. Наприклад: 01234567.",string,true
creditorName,Назва кредитора,"Назва юридичної особи, яка є кредитором. Наприклад: Європейський банк реконструкції та розвитку.",string,true
creditorIdentifier,Ідентифікатор кредитора,"Код ЄДРПОУ або аналог юридичної особи, яка є кредитором або аналог. Наприклад: 01234567.",string,true
title,Назва,Назва боргового зобов’язання. Наприклад: Кредит.,string,true
valueAmount,Обсяг,Загальний обсяг боргового зобов'язання (лише число). Наприклад: 3000000. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
valueCurrency,Валюта,"Буквений код валюти, у якій виражений обсяг, відповідно до ДСТУ ISO 4217 (https://zakon.rada.gov.ua/rada/show/v0416832-14/conv). Наприклад: EUR.",string,true
percent,Відсоткова ставка,Відсоткова ставка боргового зобов'язання (без знака «%»). Наприклад: 3. Десяткові значення відділяються крапкою або комою. Потрібно дотримуватися одного розділювача для всієї таблиці.,decimal,true
periodStartDate,Початок строку,"Дата початку строку, протягом якого має бути повернуте боргове зобов'язання у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.",date,true
periodEndDate,Кінець строку,"Дата завершення строку, протягом якого має бути повернуте боргове зобов'язання у форматі ISO 8601 (рррр-мм-дд). Наприклад: 2018-07-06.",date,true
status,Статус,"Статус боргового зобов'язання може мати одне зі значень: Дійсне, Виконане, Скасоване.",string,true
provisionDescription,Забезпечення,Інформація про забезпечення боргового зобов'язання. Наприклад: Місцева гарантія.,string,true